session,monkey,num_neurons,num_training_samples,num_testing_samples,kinematic_axis,bin_width,decoder,rsq,snr
indy_20160411_01,indy,320,320,19788,velx,32,KF_static,0.36057847538520826,1.9421274832068391
indy_20160411_01,indy,320,320,19788,velx,32,KF_dynamic,0.4527044728663745,2.617781011889815
indy_20160411_01,indy,320,320,19788,velx,32,UKF,0.6737139982228296,4.864015577822652
indy_20160411_01,indy,320,320,19788,velx,32,rEFH_static,0.693286266228141,5.132667771058896
indy_20160411_01,indy,320,320,19788,velx,32,rEFH_dynamic,0.7423168323650879,5.889139494818007
indy_20160411_01,indy,320,320,9894,velx,64,regression,0.37694872626020015,2.054762117903124
indy_20160411_01,indy,320,320,9894,velx,64,KF_observed,0.5712397756347509,3.67785510488614
indy_20160411_01,indy,320,320,9894,velx,64,KF_static,0.456265486654189,2.6461309944280185
indy_20160411_01,indy,320,320,9894,velx,64,KF_dynamic,0.552560289116927,3.492654743027444
indy_20160411_01,indy,320,320,9894,velx,64,UKF,0.6776395747338295,4.916582799670475
indy_20160411_01,indy,320,320,9894,velx,64,rEFH_static,0.742986671622416,5.900443541366264
indy_20160411_01,indy,320,320,9894,velx,64,rEFH_dynamic,0.7760995212596994,6.499449778186984
indy_20160411_01,indy,320,320,4947,velx,128,regression,0.4642935710625191,2.7107314168889376
indy_20160411_01,indy,320,320,4947,velx,128,KF_observed,0.6027568455822487,4.0094357813370385
indy_20160411_01,indy,320,320,4947,velx,128,KF_static,0.5524787533348141,3.491863411516307
indy_20160411_01,indy,320,320,4947,velx,128,KF_dynamic,0.6301088473453677,4.319260563548532
indy_20160411_01,indy,320,320,4947,velx,128,UKF,0.6862099133598498,5.033607809067835
indy_20160411_01,indy,320,320,4947,velx,128,rEFH_static,0.7849916558570749,6.6754468545690475
indy_20160411_01,indy,320,320,4947,velx,128,rEFH_dynamic,0.7961420090948498,6.906722602334378
indy_20160411_01,indy,320,320,39576,vely,16,regression,0.3216582038408733,1.6855142297323904
indy_20160411_01,indy,320,320,39576,vely,16,KF_observed,0.5612274638322498,3.5776056378664345
indy_20160411_01,indy,320,320,39576,vely,16,KF_static,0.46364890846550433,2.7055083120279995
indy_20160411_01,indy,320,320,39576,vely,16,KF_dynamic,0.47381375601059605,2.788605097995082
indy_20160411_01,indy,320,320,39576,vely,16,UKF,0.7491593099123035,6.0060201310771335
indy_20160411_01,indy,320,320,39576,vely,16,rEFH_static,0.6000417470146671,3.979853372827611
indy_20160411_01,indy,320,320,39576,vely,16,rEFH_dynamic,0.7306179379680511,5.696313270239938
indy_20160411_01,indy,320,320,19788,vely,32,regression,0.43649151207979175,2.490995379512433
indy_20160411_01,indy,320,320,19788,vely,32,KF_observed,0.6287984603762748,4.3039023113663095
indy_20160411_01,indy,320,320,19788,vely,32,KF_static,0.554849237923968,3.514928787965836
indy_20160411_01,indy,320,320,19788,vely,32,KF_dynamic,0.5987434969520645,3.9657791604514503
indy_20160411_01,indy,320,320,19788,vely,32,UKF,0.771876871237695,6.418306805952345
indy_20160411_01,indy,320,320,19788,vely,32,rEFH_static,0.7710925568327658,6.403400855521822
indy_20160411_01,indy,320,320,19788,vely,32,rEFH_dynamic,0.7998916299785391,6.987347455561409
indy_20160411_01,indy,320,320,9894,vely,64,regression,0.5372469041662868,3.3465066712070684
indy_20160411_01,indy,320,320,9894,vely,64,KF_observed,0.687700960568691,5.054293515697488
indy_20160411_01,indy,320,320,9894,vely,64,KF_static,0.6226333948697329,4.232365351444765
indy_20160411_01,indy,320,320,9894,vely,64,KF_dynamic,0.6801393687340154,4.950392099818345
